Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Destination IP Address,Destination Port,Email,Product name,Product version,Target,Port,Observations,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
b5086276-9a63-549b-81fc-21a586bf436b,2026-01-02T12:02:05,2026-03-02T17:55:50,,,,,,,,,,,,,mms.hnbassurance.com,443,2,2026-03-02T17:55:50,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""mms.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T17:55:50"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""mms.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-27T15:13:53"",""initialUrl"":""""}]",2,,2
cae56f2d-cbcb-532e-b9cd-ee623629cdca,2026-01-02T12:02:05,2026-03-02T17:55:50,,,,,,,,,,,,,mms.hnbassurance.com,8443,2,2026-03-02T17:55:50,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""mms.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T17:55:50"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""mms.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-27T15:13:53"",""initialUrl"":""""}]",2,,2
adc5c370-8dbd-5bd8-8416-c1d9153a2b70,2026-01-02T07:41:25,2026-03-02T15:52:10,,,,,,,,,,,,,salesforce.hnbassurance.com,443,2,2026-03-02T15:52:10,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""salesforce.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T15:52:10"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""salesforce.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-27T17:40:11"",""initialUrl"":""""}]",2,,2
4ee33e3b-c6ff-574b-ad8a-37fb5345fc81,2026-01-02T07:41:25,2026-03-02T15:52:10,,,,,,,,,,,,,salesforce.hnbassurance.com,8443,2,2026-03-02T15:52:10,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""salesforce.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T15:52:10"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""salesforce.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-27T17:40:11"",""initialUrl"":""""}]",2,,2
ea8ea8ea-1d95-5a29-8885-0a827b5db7ba,2026-01-02T06:11:06,2026-03-02T13:30:51,,,,,,,,,,,,,gogreen.hnbassurance.com,443,2,2026-03-02T13:30:51,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""gogreen.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T13:30:51"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""gogreen.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-27T10:35:26"",""initialUrl"":""""}]",2,,2
869a5d72-0f44-56ee-af26-8595b3afa237,2026-01-02T06:11:06,2026-03-02T13:30:51,,,,,,,,,,,,,gogreen.hnbassurance.com,8443,2,2026-03-02T13:30:51,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""gogreen.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T13:30:51"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""gogreen.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-27T10:35:26"",""initialUrl"":""""}]",2,,2
b0e9a5fc-0a46-5caf-8f62-016f5ca36e4e,2026-01-02T16:07:26,2026-03-02T10:34:11,,,,,,,,,,,,,medilink.hnbassurance.com,443,2,2026-03-02T10:34:11,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""medilink.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T10:34:11"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""medilink.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-18T08:03:20"",""initialUrl"":""""}]",2,,2
5a9a3385-359f-5da1-ab5b-0cb32746304c,2026-01-02T16:07:26,2026-03-02T10:34:11,,,,,,,,,,,,,medilink.hnbassurance.com,8443,2,2026-03-02T10:34:11,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""medilink.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T10:34:11"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""medilink.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-18T08:03:20"",""initialUrl"":""""}]",2,,2
292dca29-43be-597c-afc1-711f0fdc51db,2026-01-02T07:05:48,2026-03-02T04:19:16,,,,,,,,,,,,,ebuddy.hnbassurance.com,8443,2,2026-03-02T04:19:16,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""ebuddy.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T04:19:16"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""ebuddy.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-24T02:13:07"",""initialUrl"":""""}]",2,,2
978e0817-e067-5671-bd9c-a89676edaaa9,2026-01-02T07:05:48,2026-03-02T04:19:16,,,,,,,,,,,,,ebuddy.hnbassurance.com,443,2,2026-03-02T04:19:16,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""ebuddy.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T04:19:16"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""ebuddy.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-24T02:13:07"",""initialUrl"":""""}]",2,,2
922c981f-3436-529b-8a03-53159d94e9c9,2026-01-02T12:18:55,2026-03-02T03:38:46,,,,,,,,,,,,,edocs.hnbassurance.com,8443,2,2026-03-02T03:38:46,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""edocs.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T03:38:46"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""edocs.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-24T02:23:18"",""initialUrl"":""""}]",2,,2
a4dfc570-4e55-5e05-b8eb-b2990fe34b9c,2026-01-02T12:18:55,2026-03-02T03:38:46,,,,,,,,,,,,,edocs.hnbassurance.com,443,2,2026-03-02T03:38:46,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""edocs.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T03:38:46"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""edocs.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-24T02:23:18"",""initialUrl"":""""}]",2,,2
20c16b66-ffa2-501d-aeac-8d68439b7f96,2026-01-02T13:23:38,2026-03-02T00:54:42,,,,,,,,,,,,,api.hnbassurance.com,443,2,2026-03-02T00:54:42,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""api.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T00:54:42"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""api.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-17T08:07:56"",""initialUrl"":""""}]",2,,2
059a096e-2858-50b5-b6c3-b03d0bd88286,2026-01-02T13:23:38,2026-03-02T00:54:42,,,,,,,,,,,,,api.hnbassurance.com,8443,2,2026-03-02T00:54:42,,,,,,,,,,"[{""ip"":""104.18.1.245"",""sni"":""api.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-03-02T00:54:42"",""initialUrl"":""""},{""ip"":""104.18.0.245"",""sni"":""api.hnbassurance.com"",""ipv6"":null,""evidence"":[""TLS_RSA_WITH_3DES_EDE_CBC_SHA"",""TLS_RSA_WITH_3DES_EDE_CBC_SHA (0x000A)""],""lastSeenAt"":""2026-02-17T08:07:56"",""initialUrl"":""""}]",2,,2
