Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Destination IP Address,Destination Port,Email,Product name,Product version,Target,SHA-256 Fingerprint,Serial Number,Evidence,Observations,Output,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
926731a7-5a54-515f-b53e-597b8d3b6caf,2025-12-18T08:08:23,2026-03-03T00:33:57,,,,,,,,,,,,,,hnbassurance.com,c5621e61d58697d663a6ac13902bba23409297f2aa70970fa27794645077315f,,"[""2025-12-18T05:26:59Z""]",6,,2026-03-03T00:33:57,,,,,,,,,,"[{""ip"":""220.247.227.146"",""sni"":""smtp.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-03-03T00:33:57"",""initialUrl"":""""},{""ip"":""220.247.227.146"",""sni"":""pop3.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-03-02T23:18:14"",""initialUrl"":""""},{""ip"":""220.247.227.146"",""sni"":""mobilepic.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-03-02T18:00:26"",""initialUrl"":""""},{""ip"":""220.247.227.146"",""sni"":""imap.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-03-02T14:57:04"",""initialUrl"":""""},{""ip"":""220.247.227.146"",""sni"":""mail.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-03-02T10:19:30"",""initialUrl"":""""},{""ip"":""220.247.227.146"",""sni"":""webservice.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-02-24T12:21:04"",""initialUrl"":""""}]",6,,6
558e8a4d-ca9f-571c-961f-221f950117f9,2025-12-24T06:13:16,2026-02-28T05:48:39,,,,,,,,,,,,,,220.247.227.146,c5621e61d58697d663a6ac13902bba23409297f2aa70970fa27794645077315f,,"[""2025-12-18T05:26:59Z""]",1,,2026-02-28T05:48:39,,,,,,,,,,"[{""ip"":""220.247.227.146"",""sni"":null,""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-02-28T05:48:39"",""initialUrl"":""""}]",1,,1
76d45acb-0109-5c1a-af56-ca594a1ee152,2024-12-27T16:39:38,2026-02-24T04:49:56,,,,,,,,,,,,,,hnbassurance.com,4aadfff6a6fce68c290be0dc9411a0dbe70360a480462160b48c47039654478e,46530d3e6c6c56cdf926d61c4454049d,"[""2024-12-18T10:26:59Z""]",1,,2026-02-24T04:49:56,,,,,,,,,,"[{""ip"":""146.190.102.247"",""sni"":""letsmeet.hnbassurance.com"",""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-02-24T04:49:56"",""initialUrl"":""""}]",1,,1
16b97aaa-fcd1-5192-a6b5-2a03c716921a,2024-12-26T16:22:50,2026-02-13T16:07:30,,,,,,,,,,,,,,146.190.102.247,4aadfff6a6fce68c290be0dc9411a0dbe70360a480462160b48c47039654478e,46530d3e6c6c56cdf926d61c4454049d,"[""2024-12-18T10:26:59Z""]",1,,2026-02-13T16:07:30,,,,,,,,,,"[{""ip"":""146.190.102.247"",""sni"":null,""port"":443,""ipv6"":null,""evidence"":"""",""lastSeenAt"":""2026-02-13T16:07:30"",""initialUrl"":""""}]",1,,1
