Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,Domain,IP Address,Port,Last Observed Open,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
60aee355-2774-5f8d-9476-a81b828e6663,2026-02-05T16:50:04,2026-02-28T11:44:17,,CVE-2025-61984,,,,,,22,,,,,146.190.102.247,22,2026-02-28T11:44:17,,,,,,"ssh in OpenSSH before 10.1 allows control characters in usernames that originate from certain possibly untrusted sources, potentially leading to code execution when a ProxyCommand is used. The untrusted sources are the command line and %-sequence expansion of a configuration file. (A configuration file that provides a complete literal username is not categorized as an untrusted source.)",2025-10-06,,,,0,,0
94634a19-6984-526f-b861-6596a26f7098,2026-02-05T16:50:04,2026-02-28T11:44:17,,CVE-2025-61985,,,,,,22,,,,,146.190.102.247,22,2026-02-28T11:44:17,,,,,,"ssh in OpenSSH before 10.1 allows the '\0' character in an ssh:// URI, potentially leading to code execution when a ProxyCommand is used.",2025-10-06,,,,0,,0
481f3a82-955a-54b5-97d3-ca4446d4d378,2024-02-29T22:45:30,2026-02-27T06:57:30,,CVE-2021-36368,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"An issue was discovered in OpenSSH before 8.9. If a client is using public-key authentication with agent forwarding but without -oLogLevel=verbose, and an attacker has silently modified the server to support the None authentication option, then the user cannot determine whether FIDO authentication is going to confirm that the user wishes to connect to that server, or that the user wishes to allow that server to connect to a different server on the user's behalf. NOTE: the vendor's position is ""this is not an authentication bypass, since nothing is being bypassed.",2022-03-13,,,,0,,0
6c9cb8b8-fd5d-563b-b67e-c5b0611c7bcb,2026-02-07T23:45:13,2026-02-27T06:57:30,,CVE-2025-61985,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"ssh in OpenSSH before 10.1 allows the '\0' character in an ssh:// URI, potentially leading to code execution when a ProxyCommand is used.",2025-10-06,,,,0,,0
bdd31102-8f42-5127-ba69-af17a3d765da,2026-02-07T23:45:13,2026-02-27T06:57:30,,CVE-2025-61984,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"ssh in OpenSSH before 10.1 allows control characters in usernames that originate from certain possibly untrusted sources, potentially leading to code execution when a ProxyCommand is used. The untrusted sources are the command line and %-sequence expansion of a configuration file. (A configuration file that provides a complete literal username is not categorized as an untrusted source.)",2025-10-06,,,,0,,0
bcd54a0f-70fd-5e47-b336-f878635c2061,2023-07-02T15:14:20,2026-02-13T16:07:30,,CVE-2021-36368,,,,,,22,,,,,146.190.102.247,22,2026-02-13T16:07:30,,,,,,"An issue was discovered in OpenSSH before 8.9. If a client is using public-key authentication with agent forwarding but without -oLogLevel=verbose, and an attacker has silently modified the server to support the None authentication option, then the user cannot determine whether FIDO authentication is going to confirm that the user wishes to connect to that server, or that the user wishes to allow that server to connect to a different server on the user's behalf. NOTE: the vendor's position is ""this is not an authentication bypass, since nothing is being bypassed.",2022-03-13,,,,0,,0
