Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,IP Address,Port,CVE Publish Date,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
4c4d8837-c147-5b37-8961-849c4af8c892,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2024-43204,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"SSRF in Apache HTTP Server with mod_proxy loaded allows an attacker to send outbound proxy requests to a URL controlled by the attacker.\xC2\xA0 Requires an unlikely configuration where mod_headers is configured to modify the Content-Type request or response header with a value provided in the HTTP request.

Users are recommended to upgrade to version 2.4.64 which fixes this issue.",,,,0,,0
a57ec691-1070-59e5-8a98-4c98f4853b7c,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-39573,,,,,,80,,,,146.190.102.247,80,2024-07-01,2026-02-13T16:07:30,,,,,,"Potential SSRF in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to cause unsafe RewriteRules to unexpectedly setup URL's to be handled by mod_proxy.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",,,,0,,0
8a8d061f-518b-56f4-8b53-8fa4e936d987,2025-05-07T05:47:49,2026-02-13T16:07:30,,CVE-2021-41617,,,,,,22,,,,146.190.102.247,22,2021-09-26,2026-02-13T16:07:30,,,,,,"sshd in OpenSSH 6.2 through 8.x before 8.8, when certain non-default configurations are used, allows privilege escalation because supplemental groups are not initialized as expected. Helper programs for AuthorizedKeysCommand and AuthorizedPrincipalsCommand may run with privileges associated with group memberships of the sshd process, if the configuration specifies running the command as a different user.",,,,0,,0
852d3215-5a9f-5d55-8b72-43d7979ed8e4,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-29404,,,,,,80,,,,146.190.102.247,80,2022-06-09,2026-02-13T16:07:30,,,,,,"In Apache HTTP Server 2.4.53 and earlier, a malicious request to a lua script that calls r:parsebody(0) may cause a denial of service due to no default limit on possible input size.",,,,0,,0
7e76e3c8-1e9a-5ef4-8dae-aaa11aaa54d0,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2023-45802,,,,,,80,,,,146.190.102.247,80,2023-10-23,2026-02-13T16:07:30,,,,,,"When a HTTP/2 stream was reset (RST frame) by a client, there was a time window were the request's memory resources were not reclaimed immediately. Instead, de-allocation was deferred to connection close. A client could send new requests and resets, keeping the connection busy and open and causing the memory footprint to keep on growing. On connection close, all resources were reclaimed, but the process might run out of memory before that.

This was found by the reporter during testing of\xC2\xA0CVE-2023-44487 (HTTP/2 Rapid Reset Exploit) with their own test client. During ""normal"" HTTP/2 use, the probability to hit this bug is very low. The kept memory would not become noticeable before the connection closes or times out.

Users are recommended to upgrade to version 2.4.58, which fixes the issue.",,,,0,,0
c8de931f-2d7d-5c1a-8e24-f51261bb0787,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-38472,,,,,,443,,,,146.190.102.247,443,2024-07-01,2026-02-13T16:07:30,,,,,,"SSRF in Apache HTTP Server on Windows allows to potentially leak NTLM hashes to a malicious server via SSRF and\xC2\xA0malicious requests or content 
Users are recommended to upgrade to version 2.4.60 which fixes this issue.\xC2\xA0 Note: Existing configurations that access UNC paths will have to configure new directive ""UNCList"" to allow access during request processing.",,,,0,,0
9a4e72be-6809-51d6-9135-4dd500033a6e,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2024-43204,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"SSRF in Apache HTTP Server with mod_proxy loaded allows an attacker to send outbound proxy requests to a URL controlled by the attacker.\xC2\xA0 Requires an unlikely configuration where mod_headers is configured to modify the Content-Type request or response header with a value provided in the HTTP request.

Users are recommended to upgrade to version 2.4.64 which fixes this issue.",,,,0,,0
2be42567-83a3-5669-96ee-fd8d104782c5,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2023-45802,,,,,,443,,,,146.190.102.247,443,2023-10-23,2026-02-13T16:07:30,,,,,,"When a HTTP/2 stream was reset (RST frame) by a client, there was a time window were the request's memory resources were not reclaimed immediately. Instead, de-allocation was deferred to connection close. A client could send new requests and resets, keeping the connection busy and open and causing the memory footprint to keep on growing. On connection close, all resources were reclaimed, but the process might run out of memory before that.

This was found by the reporter during testing of\xC2\xA0CVE-2023-44487 (HTTP/2 Rapid Reset Exploit) with their own test client. During ""normal"" HTTP/2 use, the probability to hit this bug is very low. The kept memory would not become noticeable before the connection closes or times out.

Users are recommended to upgrade to version 2.4.58, which fixes the issue.",,,,0,,0
2b8c5682-f545-5c5c-9754-37f6e60cabb6,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-30522,,,,,,443,,,,146.190.102.247,443,2022-06-09,2026-02-13T16:07:30,,,,,,"If Apache HTTP Server 2.4.53 is configured to do transformations with mod_sed in contexts where the input to mod_sed may be very large, mod_sed may make excessively large memory allocations and trigger an abort.",,,,0,,0
b219864f-f35c-541d-9826-c9e04789d25c,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-29404,,,,,,443,,,,146.190.102.247,443,2022-06-09,2026-02-13T16:07:30,,,,,,"In Apache HTTP Server 2.4.53 and earlier, a malicious request to a lua script that calls r:parsebody(0) may cause a denial of service due to no default limit on possible input size.",,,,0,,0
