Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,IP Address,Port,Algorithms,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
a8260b75-5c2b-546a-ac6d-550acc9f20d6,2024-02-29T22:45:30,2026-02-27T06:57:30,,,,,,,,22,,,,134.209.100.157,22,"[""aes256-cbc"",""aes128-cbc""]",SSH-2.0-OpenSSH_8.7,,,,,,,,2026-02-27T06:57:30,,,0,,0
5a79b2e2-4466-5d2d-a0c1-951e5ea8d9e1,2023-03-24T13:27:16,2026-02-13T16:07:30,,,,,,,,22,,,,146.190.102.247,22,"[""aes256-cbc"",""aes128-cbc""]",SSH-2.0-OpenSSH_8.7,,,,,,,,2026-02-13T16:07:30,,,0,,0
